Date,Volume,Close,Average
2020-03-18,8387694,245.83,243.2021
2020-03-17,80494071,252.86,249.095
2020-03-16,80605865,242.21,245.81
2020-03-13,92683032,277.97,268.9325
2020-03-12,104618517,248.23,255.5425
2020-03-11,64094970,275.43,276.475
2020-03-10,71322520,285.34,279.5725
2020-03-09,71686208,266.17,267.7525
2020-03-06,56544246,289.03,285.77
2020-03-05,46893219,292.92,294.85
2020-03-04,54794568,302.74,298.9275
2020-03-03,79868852,289.32,295.6975
2020-03-02,85349339,298.81,290.0625
2020-02-28,106721230,273.36,266.35
2020-02-27,80151381,273.52,278.395
2020-02-26,49678431,292.65,290.89
2020-02-25,57668364,288.08,294.4225
2020-02-24,55548828,298.18,297.2125
2020-02-21,32426415,313.05,315.655
2020-02-20,25141489,320.3,321.4475
2020-02-19,23495991,323.62,322.0475
2020-02-18,38190545,319,317.18
2020-02-14,20028447,324.95,324.6275
2020-02-13,23686892,324.87,324.6575
2020-02-12,28432573,327.2,324.34
2020-02-11,23580780,319.61,321.455
2020-02-10,27337215,321.55,317.7825
2020-02-07,29421012,320.03,320.95
2020-02-06,26356385,325.21,323.3162
2020-02-05,29706718,321.45,322.17
2020-02-04,34154134,318.85,316.858625
2020-02-03,43496401,308.66,307.1675
2020-01-31,49897096,309.51,315.3525
2020-01-30,31685808,323.87,321.813375
2020-01-29,54149928,324.34,324.505
2020-01-28,40558486,317.69,315.22
2020-01-27,40485005,308.95,308.915
2020-01-24,36634380,318.31,319.8522
2020-01-23,26117993,319.23,318.09
2020-01-22,25458115,317.7,318.395
2020-01-21,27235039,316.57,317.195
2020-01-17,34454117,318.73,317.185
2020-01-16,27207254,315.24,314.155
2020-01-15,30480882,311.34,312.06
2020-01-14,40653457,312.68,314.78
2020-01-13,30028742,316.96,314.205
2020-01-10,35217272,310.33,310.4625
2020-01-09,42621542,309.63,308.37375
2020-01-08,33090946,303.19,300.486475
2020-01-07,27877655,298.39,299.1525
2020-01-06,29644644,299.8,296.575
2020-01-03,36633878,297.43,297.915
2020-01-02,33911864,300.35,298.095
2019-12-31,25247625,293.65,291.695
2019-12-30,36059614,291.52,289.7225
2019-12-27,36592936,289.8,290.7525
2019-12-26,23334004,289.91,287.3525
2019-12-24,12119714,284.27,284.192425
2019-12-23,24677883,284,282.288375
2019-12-20,69032743,279.44,280.72
2019-12-19,24626947,280.02,279.9125
2019-12-18,29024687,279.74,280.14
2019-12-17,28575798,280.41,280.1375
2019-12-16,32081105,279.86,278.6575
2019-12-13,33432806,275.15,273.21
2019-12-12,34437042,271.46,269.780225
2019-12-11,19723391,270.77,269.795
2019-12-10,22632383,268.48,268.2525
2019-12-09,32182645,266.92,268.1575
2019-12-06,26547493,270.71,269.1225
2019-12-05,18661343,265.58,264.4975
2019-12-04,16810388,261.74,261.7
2019-12-03,29377268,259.45,258.395
2019-12-02,23693550,264.16,265.7825
2019-11-29,11654363,267.25,266.9375
2019-11-27,16386122,267.84,266.6775
2019-11-26,26334882,264.29,265.2225
2019-11-25,21029517,266.37,264.51
2019-11-22,16331263,261.78,262.0975
2019-11-21,30348778,262.01,262.72125
2019-11-20,26609919,263.19,263.80325
2019-11-19,19069597,266.29,266.89565
2019-11-18,21700897,267.1,266.14
2019-11-15,25093666,265.76,264.5575
2019-11-14,22395556,262.64,263.3425
2019-11-13,25817593,264.47,262.8625
2019-11-12,21847226,261.96,261.805
2019-11-11,20507459,262.2,260.3125
2019-11-08,17520495,260.14,259.03
2019-11-07,23735083,259.43,259.1575
2019-11-06,18966124,257.24,256.71625
2019-11-05,19974427,257.13,257.1725
2019-11-04,25817952,257.5,257.01375
2019-11-01,37781334,255.82,252.6125
2019-10-31,34790520,248.76,245.6075
2019-10-30,31130522,243.26,243.6325
2019-10-29,35709867,243.29,246.145
2019-10-28,23655368,249.05,248.11
2019-10-25,18369296,246.58,244.8375
2019-10-24,17916255,243.58,243.67375
2019-10-23,19932545,243.18,242.435
2019-10-22,22684001,239.96,240.73545
2019-10-21,21811567,240.51,239.085
2019-10-18,24248023,236.41,235.7175
2019-10-17,17272897,235.28,235.01
2019-10-16,19286694,234.37,234.045
2019-10-15,23040483,235.32,236.06
2019-10-14,24413484,235.87,235.893575
2019-10-11,41990210,236.21,234.776875
2019-10-10,28962984,230.09,228.94
2019-10-09,19029424,227.03,226.8725
2019-10-08,29282700,224.4,225.6525
2019-10-07,30889269,227.06,227.275
2019-10-04,34755553,227.01,226.0075
2019-10-03,30352686,220.82,218.8355
2019-10-02,35767257,218.96,220.8825
2019-10-01,36187163,224.59,225.52
2019-09-30,26318583,223.97,222.56
2019-09-27,25361285,218.82,219.40035
2019-09-26,19088312,219.89,219.915
2019-09-25,22481006,221.03,219.55505
2019-09-24,31434367,217.68,219.60375
2019-09-23,19419648,218.72,218.79
2019-09-20,57977094,217.73,219.78575
2019-09-19,22187876,220.96,221.775
2019-09-18,25643093,222.77,221.53
