Date,Volume,Close,Average
2020-03-17,80354185,146.57,141.2499
2020-03-16,87905868,135.42,142.175
2020-03-13,92727446,158.83,151.32
2020-03-12,93226366,139.06,146.025
2020-03-11,56504304,153.63,154.425
2020-03-10,65354385,160.92,156.805
2020-03-09,70419274,150.62,153.875
2020-03-06,72821057,161.57,159.555
2020-03-05,47817251,166.27,168.28
2020-03-04,49814383,170.55,168.16
2020-03-03,71677019,164.51,168.63
2020-03-02,71030810,172.79,167.615
2020-02-28,97073557,162.01,157.855
2020-02-27,93174906,158.18,162.505
2020-02-26,56387148,170.17,170.735
2020-02-25,68073295,168.07,171.2431
2020-02-24,68311066,170.89,168.89
2020-02-21,48600385,178.59,180.375
2020-02-20,36862376,184.42,184.175
2020-02-19,29997471,187.28,187.325
2020-02-18,27853113,187.23,186.6
2020-02-14,23149516,185.35,184.03
2020-02-13,35295834,183.71,184.551
2020-02-12,47062921,184.71,183.85
2020-02-11,53159906,184.44,187.1
2020-02-10,35844267,188.7,186.045
2020-02-07,33529074,183.89,184.055
2020-02-06,27751381,183.63,181.93945
2020-02-05,39186324,179.9,181.30505
2020-02-04,36433339,180.12,178.475
2020-02-03,30149052,174.38,172.45
2020-01-31,36142690,170.23,170.99
2020-01-30,51597470,172.78,172.42
2020-01-29,35127771,168.04,167.22
2020-01-28,24899940,165.46,164.414
2020-01-27,32078067,162.28,161.7875
2020-01-24,24918117,165.04,165.99
2020-01-23,19680766,166.72,166.035
2020-01-22,24138777,165.7,166.585
2020-01-21,29223486,166.5,167.31
2020-01-17,34371659,167.1,166.44875
2020-01-16,23865360,166.17,165.135
2020-01-15,21417871,163.18,163.255
2020-01-14,23500783,162.13,162.66
2020-01-13,18666414,163.28,162.285
2020-01-10,20733946,161.34,162.2
2020-01-09,21399951,162.09,161.6225
2020-01-08,27762026,160.09,159.37455
2020-01-07,21881740,157.58,158.495
2020-01-06,20826702,159.03,157.805
2020-01-03,21121681,158.62,159.0025
2020-01-02,22634546,160.62,159.53
2019-12-31,18393383,157.7,157.11
2019-12-30,16356720,157.59,157.875
2019-12-27,18414352,158.96,158.885
2019-12-26,14526927,158.67,158.065
2019-12-24,8989150,157.38,157.4125
2019-12-23,17726283,157.41,157.695
2019-12-20,53599613,157.41,157.39
2019-12-19,25813825,155.71,154.76
2019-12-18,24132379,154.37,154.83
2019-12-17,25443527,154.69,155.08
2019-12-16,24152770,155.53,155.36
2019-12-13,23850062,154.53,153.86
2019-12-12,24645366,153.24,152.23
2019-12-11,18860001,151.7,151.1
2019-12-10,16481060,151.13,151.3275
2019-12-09,16741350,151.36,151.56
2019-12-06,16410400,151.75,151.07
2019-12-05,17880601,149.93,149.9
2019-12-04,17580617,149.85,149.68995
2019-12-03,25192145,149.31,148.04
2019-12-02,27473616,149.55,150.075
2019-11-29,11977300,151.38,151.79
2019-11-27,15201293,152.32,152.01
2019-11-26,24635100,152.03,151.87
2019-11-25,22428585,151.23,150.635
2019-11-22,15841680,149.59,149.56
2019-11-21,18576083,149.48,149.1505
2019-11-20,25720060,149.62,149.65
2019-11-19,23960164,150.39,150.7625
2019-11-18,21554762,150.34,149.765
2019-11-15,23508807,149.97,149.13
2019-11-14,19755100,148.06,147.705
2019-11-13,17444230,147.31,146.87125
2019-11-12,18648712,147.07,146.815
2019-11-11,14370178,146.11,145.575
2019-11-08,16752939,145.96,144.875
2019-11-07,17786715,144.26,144.325
2019-11-06,16575798,144.06,143.86
2019-11-05,18250172,144.46,144.4625
2019-11-04,16911999,144.55,144.58
2019-11-01,33128366,143.72,143.6925
2019-10-31,24605135,143.37,143.96
2019-10-30,18496591,144.61,143.895
2019-10-29,20589469,142.83,143.575
2019-10-28,34912902,144.19,144.59
2019-10-25,25959724,140.73,140.17
2019-10-24,37278399,139.94,139.545
2019-10-23,31380309,137.24,136.53
